city-city,dist
Amsterdam-Hamburg,366.7318252779286
Amsterdam-Stuttgart,499.87494702934237
Amsterdam-Frankfurt,362.90987516783673
Amsterdam-Stockholm,1131.6300553848139
Amsterdam-Brussels,173.51476561305705
Amsterdam-Vienna,936.1554147942668
Amsterdam-Lisbon,1863.7345901834042
Amsterdam-Marseille,1007.9288119715281
Amsterdam-Cologne,211.57859210067437
Amsterdam-Helsinki,1506.1678883392688
Amsterdam-Lyon,731.7897779636543
Amsterdam-Düsseldorf,180.03851340413271
Amsterdam-Warsaw,1094.9218044055763
Amsterdam-Rotterdam,56.41890237102964
Amsterdam-Prague,712.5813811678398
Amsterdam-Lille,228.10050186563672
Amsterdam-Turin,834.3268444279448
Amsterdam-Utrecht,31.312318764326992
Amsterdam-Budapest,1148.6645325670718
Amsterdam-Toulouse,1004.2791340529335
Amsterdam-Bordeaux,927.14220230198
Amsterdam-Bucharest,1789.2358717064328
Amsterdam-Malmö,642.2015249560458
Amsterdam-Nantes,738.6428228562844
Amsterdam-The Hague,53.45034692533427
Amsterdam-Bremen,274.7348136621013
Amsterdam-Bonn,235.60466844029665
Amsterdam-Dresden,627.3305059246655
Amsterdam-Bologna,993.2500055805614
Amsterdam-London,358.5441397904004
Amsterdam-Valencia,1488.8103436268968
Amsterdam-Naples,1464.0122463320838
Amsterdam-Dublin,760.5689556945553
Amsterdam-Athens,2163.515322168338
Amsterdam-Barcelona,1236.3909345314346
Amsterdam-Gothenburg,747.1365141958837
Amsterdam-Nuremburg,538.5701903023585
Amsterdam-Braunschweig,382.0977184646345
Amsterdam-Hanover,328.35472517726924
Amsterdam-Antwerp,130.86503367036022
Amsterdam-Brescia,850.4244100098748
Dortmund-Rome,1137.0637150770444
Dortmund-Hamburg,283.70894814856723
Dortmund-Stuttgart,330.4396124465852
Dortmund-Frankfurt,180.9893523047205
Dortmund-Stockholm,1098.344475522083
Dortmund-Brussels,231.33059561238238
Dortmund-Vienna,739.3975399242432
Dortmund-Lisbon,1922.3436587637289
